TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,SEASON,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Golden State Warriors,82,38,44,0.5,106.4,107.7,-1.3,0.602,1.32,15.4,0.314,0.686,0.5,0.16,0.474,0.519,95.88,7897.0,0.492,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Rockets,82,43,39,0.5,102.4,100.9,1.5,0.602,1.18,14.7,0.314,0.686,0.5,0.16,0.474,0.519,90.36,7508.0,0.511,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana Pacers,82,48,34,0.5,103.2,99.6,3.5,0.602,1.58,17.7,0.314,0.686,0.5,0.16,0.474,0.519,92.71,7696.0,0.538,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Clippers,82,27,55,0.5,101.1,105.1,-4.0,0.602,1.24,15.4,0.314,0.686,0.5,0.16,0.474,0.519,92.68,7613.0,0.47,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Lakers,82,50,32,0.5,105.6,103.4,2.2,0.602,1.6,17.4,0.314,0.686,0.5,0.16,0.474,0.519,93.78,7797.0,0.52,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis Grizzlies,82,28,54,0.5,102.3,105.9,-3.5,0.602,1.5,17.5,0.314,0.686,0.5,0.16,0.474,0.519,94.03,7813.0,0.482,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami Heat,82,25,57,0.5,95.4,101.2,-5.8,0.602,1.29,15.0,0.314,0.686,0.5,0.16,0.474,0.519,88.93,7353.0,0.456,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bucks,82,42,40,0.5,107.2,106.9,0.3,0.602,1.75,17.4,0.314,0.686,0.5,0.16,0.474,0.519,91.76,7607.0,0.495,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Timberwolves,82,51,31,0.5,104.8,102.5,2.2,0.602,1.84,19.0,0.314,0.686,0.5,0.16,0.474,0.519,93.08,7681.0,0.529,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey Nets,82,49,33,0.5,102.1,96.6,5.4,0.602,1.56,17.6,0.314,0.686,0.5,0.16,0.474,0.519,93.0,7661.0,0.544,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Orleans Hornets,82,47,35,0.5,102.4,100.0,2.4,0.602,1.49,17.0,0.314,0.686,0.5,0.16,0.474,0.519,90.72,7522.0,0.517,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
